ResourceId;Concept;Score
1;brainstorming;1
1;gruppen;0.9
1;kreativität;0.7
1;SIAM;0.8
1;leistungsverlust;0.9
1;ideengenerierung;0.8
1;produktionsblockierung;0.9
1;bewertungsangst;0.6
1;kommunikation;0.6
1;bewertungsangst;0.4
1;zwei-phasen-prozess;0.5
1;gedankengänge;0.5
1;clusteranzahl;0.3
1;clusterlänge;0.3
1;kritik;0.2
1;fact-finding;0.1
1;idea-finding;0.1
1;solution-finding;0.1
2;ideengenerierung;1
2;brainstorming;1
2;produktionsblockierung;1
2;stimulierung;1
2;störung;1
2;gruppen;1
2;produktivität;0.9
2;gedankengänge;0.8
2;kommunikation;0.6
2;SIAM;0.8
2;bewertungsangst;0.5
2;arbeitsgedächtnis;0.4
2;langzeitgedächtnis;0.4
2;brainwriting;0.3
2;sequenz;0.2
3;kommunikation;0.7
3;brainstorming;1
3;lehrmethod;0.4
3;kreative prozesse;0.5
3;ideengenerierung;1
3;fact-finding;0.6
3;idea-finding;0.6
3;solution-finding;0.6
3;kritik;0. 6
3;leistungsvergleich;0.5
3;Gruppen;0.8
3;individuell;0.6
3;parallel;0.6
3;bewertungsangst;0.8
3;trittbrettfahrer;0.8
3;produktionsblockierung;1
3;SIAM;0.9
3;arbeitsgedächtnis;0.7
3;langzeitgedächtnis;0.7
3;störung;0.8
3;brainwriting;0.9
4;brainstorming;1
4;produktionsblockierung;1
4;SIAM;1
4;Ideengenerierung;0.8
4;arbeitsgedäcthniss;0.8
4;sequenz;0.8
4;clusteranzahl;0.6
4;clusterlänge;0.6
4;gedankengänge;0.6
